成为母亲的自由,[韩] 崔至恩  著,49.80
少年万得,【韩】金吕玲 著,49.00
你也是山百合呀,（韩）李琴怡 著,49.00
马列耶夫在学校和家里,【俄】尼古拉·诺索夫 著，【俄】奇日…,36.00
狄更斯男孩,[澳]托马斯·肯尼利 著，李尧 译,59.00
贺拉斯,乔治-桑 著，林珍妮 译,49.80
上流法则,埃默·托尔斯 著,79.00
特维利诺,乔治-桑 著,49.80
诱惑者日记,丹.齐克果著，张远鑫译,20.00
失落的骡金,爱德华多·戴维（Eduardo David）,88.00
三国演义,[明]罗贯中 著，周振甫 节编,88.00
占据,[法]安妮·埃尔诺 著；米兰 译,42.00
羞耻,[法]安妮·埃尔诺 著;郭玉梅 译,45.00
简单的激情,[法]安妮·埃尔诺 著;袁筱一 译,45.00
年轻男人,[法]安妮·埃尔诺 著；栾颖新 译,36.00
写作是一把刀：与费雷德里克-伊夫·热奈对谈,[法]安妮·埃尔诺 著；栾颖新 译,58.00
三个火枪手（伍光建译作精读）,(法) 大仲马 著；伍光建 译；茅盾 校注,58.00
托尔金的世界：中洲的灵感之地,[英] 约翰·加思 著,228.00
失业名校毕业生日记,【英】马修·诺特（Matthew Knott） 著…,49.80
康拉德经典：吉姆爷,（英）约瑟夫·康拉德 著，安宁 译,59.80
简·奥斯汀全集：劝导,[英]简·奥斯汀,58.00
简·奥斯汀全集：爱玛,[英]简·奥斯汀,78.00
我拒绝成为天才鹦鹉,[美]本·勒纳 著;冯洁音 译,65.00
怒月,暂缺作者,140.00
夏伊洛公园,暂缺作者,69.00
在乡下,暂缺作者,69.00
Twilight暮光之城1：暮色,Stephenie Meyer  著,64.00
心是孤独的猎手,（美）卡森·麦卡勒斯,65.00
请以你的名字呼唤我,[美]安德烈·艾席蒙 著，吴妍蓉 姚瑶 …,92.70
爱情生活,暂缺作者,69.00
古都,[日]川端康成 著，陈德文 译,65.00
泡泡,[日] 武田绫乃  著,55.00
千只鹤（典藏版）,[日]川端康成 著,56.00
变成树的亚沙,[日]今村夏子 著，朱娅姣 译,45.00
千羽鹤,[日]川端康成 著，陈德文 译,65.00
伊豆的舞女（典藏版）,[日]川端康成 著,56.00
雪国（典藏版）,[日]川端康成 著,52.00
雪国,[日]川端康成 著，陈德文 译,69.00
睡美人,[日]川端康成 著，陈德文 译,65.00
伊豆的舞女,[日]川端康成 著，陈德文 译,65.00
拂晓的一切,濑尾麻衣子 著,49.80
山音,[日]川端康成 著作，陈德文 译,65.00
古都,[日]川端康成,39.80
雪国,[日]川端康成,39.80
真实身份,[日] 染井为人 著，磨铁文化 出品,68.00
山雀,（日）川端康成,59.00
豆单,（日）赤尾好夫等著,29.80
睡美人·湖,[日] 川端康成 著，陈德文 译,52.00
伊豆的舞女,[日] 川端康成 著，陈德文 译,56.00
舞姬·花的圆舞曲,[日] 川端康成 著，陈德文 译,60.00
山音,[日] 川端康成 著，陈德文 译,56.00
雪国,[日] 川端康成 著，陈德文 译,42.00
高野圣僧,[日]泉镜花,45.00
古都,[日] 川端康成 著，陈德文 译,50.00
千羽鹤,[日] 川端康成 著，陈德文 译,52.00
星星的书签,[日]星绪早苗 著，周龙梅 译,56.00
大海的来信,[日]星绪早苗 著，周龙梅 译,56.00
美是一种伤,埃卡·古尼阿万  著,68.00
纳尼亚传奇（全7册珍藏版）,[英]C.S. 刘易斯 著，熊亭玉 译,338.00
影响,[日]近藤史惠,48.00
追寻金狮的孩子,［英］昂加利·Q．劳夫 著,49.00
远海,〔韩〕孔枝泳 著  徐丽红 译,52.00
接骨师之女,（美）谭恩美（Amy Tan）,59.00
凝视太阳,[英]朱利安·巴恩斯,54.00
火中遗物,[阿根廷]玛丽安娜·恩里克斯（Mariana…,54.00
野性三部曲,（美）杰克.伦敦,78.00
海洋与大地的故事,阿尔瓦罗·穆蒂斯 费颖婕,59.00
天使飞走的夜晚,[美]吉娜·B.那海,59.00
海洋之神,保罗·巴奇加卢比,52.00
奇迹之书Ⅱ,[爱尔兰]邓萨尼勋爵 著，何殇 张螺螺 译,68.00
天才闪光：那些真实的发明故事,[美]约翰·西布鲁克 著、周咫岐 译,68.00
我暗淡的凡妮莎,[美]凯特·伊丽莎白·拉塞尔 著，…,59.00
豪猪回忆录,[法]阿兰·马邦库（Alain Mabanckou）…,52.00
雨夜雾梦,（缅甸）德格多鹏奈 著，计莲芳 译,45.00
食草都市,（沙特）阿卜杜胡·哈勒,56.00
蓝色的火焰：纪伯伦爱情书简,纪伯伦,49.00
坠入爱河,[比利时]埃莱娜·岱尔弗尔热 著，   […,328.00
荒诞联盟,（美）约翰·肯尼迪·图尔（John …,69.00
护身符：迈耶尔历史小说选,C. F.迈耶尔,48.00
心之四海,[法国]弗朗索瓦丝·萨冈,58.00
假如,[罗马尼亚，当代]亚历山大·豪斯瓦特,45.00
莫利,[澳大利亚]利亚·珀塞尔,58.00
真爱假说,[意] 艾利·黑泽尔伍德  著,55.00
鲤鱼粥,[日]村田喜代子,48.00
特洛伊,（英）斯蒂芬·弗莱,89.90
掌心里的京都,[日] 绵矢莉莎  后浪,49.80
愿我所爱欣然入梦,［日］中村航  孙淑华 郑爱军 译,39.00
缪斯,(美) 乔纳森·加拉西,45.00
町人美学,阿部次郎,68.00
偏偏喜欢你,尼克·霍恩比,68.00
化学婚仪,安德里亚,38.00
恐惧（梁永安教授万字长文解读灵魂捕手茨威格经典女性心理小说《恐…,[奥地利]斯蒂芬·茨威格 著，沈锡良 译…,39.00
毛姆短篇小说选I,（英）威廉·萨默塞特·毛姆 著；…,79.00
午夜球手,（美）沃尔特·特维斯 著，张佳玮 译,45.00
比奥莱塔与尼卡诺尔,（智利）帕特里西娅·塞尔达 著，李静…,69.00
戴珍珠耳环的少女,[美]特蕾西?薛瓦利埃 （Tracy Chevalier）…,58.00
邻人之爱,西格丽德·努涅斯,62.00
在底层的人们,马里亚诺·阿苏埃拉,38.00
跳舞的星座,青山七惠,62.00
没有女人的男人们,村上春树,55.00
玻璃海绵,[日]向田邦子,58.00
在路上,[美] 杰克·凯鲁亚克 著，黄雨石 等译…,65.00
野菩萨,黎紫书  著,52.00
床上抽烟危险,[阿根廷]玛丽安娜·恩里克斯（Mariana…,56.00
荣耀：纳博科夫精选集IV,[美国]弗拉基米尔·纳博科夫,72.00
洛丽塔（注释本）,[美国]弗拉基米尔·纳博科夫,248.00
空盼,（西班牙）卡门·拉福雷特 著，卞双成…,54.00
掌小说集,[日本]川端康成,52.00
密室之王卡尔：燃烧的法庭+天方夜谭谋杀案+绿胶囊之谜（套装共3册…,[美国]约翰·迪克森·卡尔（John …,156.00
忠诚,[意大利]马尔科·米西罗利 著，邵思宁…,68.00
任性的凯琴姑娘：特罗洛普中短篇小说选,[英]安东尼·特罗洛普（Anthony Troll…,75.00
了不起的盖茨比,【美】菲茨杰拉德  著，姚乃强 译,58.00
2021诺奖作家古尔纳作品：遗弃,[英国]阿卜杜勒拉扎克·古尔纳,78.00
缅栀子树下的露台,米亚·科托 著，周宁 译,52.00
斯卡伯勒的婚约,安东尼 · 特罗洛普,118.00
右手边蜂蜜的香气,【日】片冈翔,49.80
优芙小姐的烘焙坊,[意] 鲁易吉·巴列里尼（LuigiBalleri…,48.00
周末（精装新版）,[德国]伯恩哈德·施林克 著，印芝虹 译…,62.00
夜车,[英国]马丁·艾米斯,76.00
卡夫卡的朋友,艾萨克.巴什维斯.辛格,69.00
冤家，一个爱情故事,艾萨克.巴什维斯.辛格,69.00
埃莱娜费兰特作品：碎片/烦人的爱/被遗弃的日子/偶然的创造/成年人…,〔意〕埃莱娜·费兰特,617.00
幸福的另一种含义,[法]马克·李维,68.00
甜品店的女儿们,[马耳他]卢· 德罗菲尼科,65.00
男孩,[南非]J.M.库切 著，方柏林 译,52.00
朱明的千宗罪,[美]林闻涛,65.00
童年的许诺（图文版）,（法）罗曼·加里 著，（法）尤安…,149.00
注疏版布里格手记,[奥]里尔克,108.00
1945：短篇小说集,[匈牙利]桑托·T. 伽博尔（Szánt…,60.00
人坐在世界的边缘，笑（套装共5册）,"[奥]菲利普·韦斯（Philipp,Weiss）",168.00
狗狼之间,萨沙·索科洛夫 著，李春雨 译,49.00
古都,[日本]川端康成,49.00
千鹤,[日本]川端康成,52.00
硬汉不跳舞,诺曼·梅勒,78.00
落石镇：玛雅山脉的蝴蝶农场,（美）戴安娜·马库姆,58.80
万国之子,[印尼]普拉姆迪亚·阿南达·杜尔,78.00
爱的饥渴,三岛由纪夫 著，兰立亮 译,40.00
哈姆奈特,[英] 玛姬·欧法洛 著，李运兴 译,79.00
纯真挽歌,威廉·肯特·克鲁格,62.00
千只鹤,[日]川端康成 著,59.00
小癞子,（西班牙）佚名 著，杨绛 译,58.00
背德者,[法]安德烈·纪德 著，李玉民 译,39.80
你好下北泽,[日]吉本芭娜娜（よしもとばなな） 著，弭…,58.00
爱之逃遁（精装新版）,伯恩哈德·施林克 著，姚仲珍、拱玉书…,72.00
死神捞到一条金鱼,布莱恩·雷,88.00
两百年的孩子,[日]大江健三郎,65.00
再会，公共人,[美]理查德·桑内特（Richard Sennett…,69.00
咖啡残渍,马里奥·贝内德蒂,45.00
迷宫中的人,[意大利]多纳托·卡瑞西 著，陈波 译,68.00
煎香肠的吃法,【日】大江健三郎 著，于荣胜 等译,56.00
我那时真年轻,【日】大江健三郎 著，邱雅芬 译,48.00
十三篇：福克纳短篇小说集,威廉·福克纳,69.80
莎士比亚的记忆,豪尔赫·路易斯·博尔赫斯,69.00
日常生活的冒险,【日】大江健三郎 著，邱雅芬 译,50.00
亚瑟王之死,[英]托马斯·马洛礼 著，黄素封 译,288.00
凶年纪事,[南非]J.M.库切 著，文敏 译,78.00
夏日谎言（精装新版）,[德国]伯恩哈德·施林克 著，刘海宁 译…,72.00
当她是好女人的时候,[美国]菲利普·罗斯,78.00
雪国,[日本]川端康成,39.00
川端康成精选集（3册）,川端康成 著 叶宗敏，美空，王之光 译,256.00
愁容童子,【日】大江健三郎 著，许金龙 译,58.00
一间自己的房间,弗吉尼亚·伍尔夫 著，谷婷婷 译,36.00
别了，我的书！,【日】大江健三郎 著，许金龙 译,56.00
洪水淹及我的灵魂,【日】大江健三郎 著，王建新 译,58.00
欢乐与忧伤2：风转向的地方,[西班牙] G.T.巴莱斯特,69.90
落英缤纷,[日本]太宰治,68.00
上锁的房间,三岛由纪夫,48.00
揪芽打仔 揪芽打仔之审判,【日】大江健三郎 著，陈青庆 周砚舒 译,49.00
伊豆的舞女,[日]川端康成 著,59.00
卡尔维诺经典：马可瓦尔多,伊塔洛·卡尔维诺 著，马小漠 译,49.00
晚年样式集,【日】大江健三郎 著，许金龙 译,55.00
市场街的斯宾诺莎,艾萨克·巴什维斯·辛格 傅晓微,69.00
被偷换的孩子,【日】大江健三郎 著，许金龙 译,50.00
贩卖过去的人,[安哥拉]若泽·爱德华多·阿瓜卢萨…,59.00
欢乐与忧伤3：忧伤的复活节,[西班牙] G.T.巴莱斯特,59.90
困惑,[美] 理查德·鲍尔斯 著,69.00
唐纳兄妹,罗伯特·瓦尔泽,69.00
回家之路,[美]雅阿·吉亚西,59.00
新哈姆雷特,[日本]太宰治,78.00
我们，被淹没的,[丹] 卡斯滕·延森,168.00
给我一块面包吧,Uin 风炫文化,45.00
音乐,[日本]三岛由纪夫,45.00
富兰克林自传,[美国]本杰明·富兰克林,65.00
道连·葛雷的画像,奥斯卡·王尔德,68.00
椭圆女士：莉奥诺拉·卡林顿短篇小说集,莉奥诺拉·卡林顿 著，郁梦非 李思璟 …,66.00
就这样,玛格丽特·杜拉斯 著,38.00
虚构集,豪尔赫·路易斯·博尔赫斯,69.00
入殓师,[日]青木新门,54.00
午夜自行车,（日）村田喜代子  著,49.00
风的内侧，或关于海洛与勒安得耳的小说,[塞尔维亚]米洛拉德·帕维奇,88.00
花战,（日）鬼塚忠  著,69.00
先知及其他故事,〔南非〕赫尔曼·查尔斯·博斯曼,45.00
水死,【日】大江健三郎 著，许金龙 译,60.00
笔尖的杀意：日本文豪推理集,[日] 江户川乱步 等著,68.00
神箭手,（巴西）保罗·柯艾略  著,49.00
驳圣伯夫,[法国]普鲁斯特 著，王道乾 译,65.00
魔角,莉奥诺拉·卡林顿 著，付裕 译,70.00
熊的铺路石,(日) 堀江敏幸著 ; 米悄译,35.00
一个被劫持的西方或中欧的悲剧,[法国]米兰·昆德拉,52.00
另一片海,[意大利]克劳迪奥·马格里斯,58.00
反抗的忧郁,[匈] 克拉斯诺霍尔卡伊·拉斯洛,98.00
乌鸦湖,玛丽·劳森 著，陈磊 译,59.00
电锯人 最佳搭档,"[日] 藤本树, 菱川沙角",45.00
猫的摇篮,[美]库尔特·冯内古特,65.00
蚁,查理·考夫曼,129.00
欢乐与忧伤三部曲,[西班牙] G.T.巴莱斯特,189.70
河岸忘日抄,(日) 堀江敏幸 著 ; 米悄 译,45.00
冠军早餐,[美] 库尔特·冯内古特,69.90
一间自己的房间,(法) 弗吉尼亚·伍尔夫,32.00
雪国,[日] 川端康成 著,58.00
当我走进你的世界（2册套装）,川端康成 著,136.00
金银岛,[英]罗伯特·路易斯·史蒂文森，顾…,128.00
亚尔斯兰战记8,[日]田中芳树,49.00
亚尔斯兰战记10,[日]田中芳树,49.00
亚尔斯兰战记12,[日]田中芳树,49.00
亚尔斯兰战记11,[日]田中芳树,49.00
亚尔斯兰战记9,[日]田中芳树,49.00
棉被,【日】田山花袋,59.80
亚尔斯兰战记7,[日]田中芳树,49.00
女人的梦,［日］川端康成,45.00
午后小憩,（沙特）阿卜杜·阿齐兹·萨格阿比…,56.00
与菲菲一起生活：野生黑猩猩教会我的事,〔美〕约翰·克洛克 著，刘海静 译,79.00
伊豆的舞女,[日] 川端康成 著,58.00
废墟中的呐喊,〔美〕凯文·鲍尔斯,55.00
权力之塔,（意）阿里桑卓-阿吉纳,58.00
睡美人,［日］川端康成,45.00
太阳的女儿,塔索斯·拉波洛布洛斯,30.00
幻梦中涌动的海,理查德·弗兰纳根  著,59.00
时间机器,赫伯特 乔治 威尔斯,36.00
文学少女：爱恋插话集4,[日]野村美月,55.00
文学少女：爱恋插话集2,[日]野村美月,55.00
窄门,（法）安德烈-纪德,45.00
文学少女：爱恋插话集1,[日]野村美月,55.00
古都,[日]川端康成  著  罗松涛  译,45.00
川端康成作品：古都+雪国,川端康成 著,118.00
我用古老的方式爱过你（2册套装）,川端康成 著,120.00
文学自传（精装版）,[日]川端康成 著，魏大海 高慧勤 等译,48.00
伊豆的舞女,[日]川端康成  著,45.00
文学少女：爱恋插话集3,[日]野村美月,55.00
环球动物大拯救：一名兽医的诊疗记录,[英]乔纳森·克兰斯顿,79.00
千只鹤,[日] 川端康成 著,58.00
亚尔斯兰战记13,[日]田中芳树,49.00
侯爵夫人,乔治·桑 著,49.80
伊豆舞女（精装版）,[日]川端康成 著，李德纯 林少华 侯为 等 …,48.00
古都（精装典藏版）,[日]川端康成 著  谭晶华 译,58.00
小小文学药房（越是艰难的时刻，越要坚持梦想）,(意) 埃琳娜·莫利尼,68.00
雪国 琼音（精装版）,[日]川端康成 著，高慧勤 林少华 译,48.00
舞姬 再婚者（精装版）,[日]川端康成 著，赵德远 林少华 译,48.00
大西岛,彼埃尔?博努瓦 著,45.00
日本的美与我,【日】川端康成,45.00
亚尔斯兰战记14,[日]田中芳树,49.00
亚尔斯兰战记15,[日]田中芳树,49.00
爱是孤独的执念（3册套装）,川端康成 著,188.00
深海大战2 渐深层卷,（日）藤崎慎吾,48.00
彩虹几度,【日】川端康成,42.00
血染须髯,〔巴西〕丹尼尔·加莱拉,88.00
山音,［日］川端康成,59.00
千只鹤,[日]川端康成  著,45.00
一郎二郎：南方大作战,(日) 奥田英朗,59.00
解不开的谜团,【日】市川拓司,49.00
塞普尔维达童话：一只名叫忠诚的狗,[智利]路易斯·塞普尔维达,49.00
